,text
0,"#MAGA #MakeAmericaGreatAgain 
President Trump already on fourth gear.
#ChinaLiedPeopleDied  #UighurGenocide #Uyghurs #BlacksForTrump #fentanyl #WuhanVirus #wuhanlab #hypocrisy #XINN #chinavirus #unrestrictedWar #HunterBiden #BidenCrimeFamily #ChinaJoe #Uighurs #CROOKEDJOE"
1,#VoteYourHeartForBiden because u hate #Uyghurs and u love slave labor.
2,"If you missed the 
@ihmec
 presentation ""History Repeating: The Forced Labor and Genocide of the #Uyghurs"", with 
@rushanabbas
 & camp survivor Zumret Dawut, you can view it here: 
https://youtu.be/ye7BZ_lY3gM via 
@YouTube"
3,#STOP #Genocide Towards the #Uyghurs
4,"Someone tell the #Uyghurs that if 
@JoeBiden
 wins they will have to wait for freedom 
#ChinaBitchBiden"
5,"""Torment of The #Uyghurs-- and the global crisis in human rights,"" The Economist, October 17th-23rd issue, see esp. pp. 9, 35, 50, 18 
@TheEconomist
 #UyghursLivesMatter #ThailandProtest2020"
6,"We hope this will lead to stronger opposition from #Kyrgyzstan against #China's genocide of #Uyghurs, #Kazakhs, #Kyrgyz & other Turkic peoples in Occupied #EastTurkistan. Kyrgyzstan can play a crucial role in diminishing Chinese influence in #CentralAsia."
7,"Here is the Link for the petition supporting Father's release :
https://change.org/SaveMewlan"
8,"Me nephew may not recognise his father now... he saw him, played with him only before he turned 10 months old, has had 4 birthdays without his father. He has been forcfully deprived from fatherhood love. Free his father from CCP's arbitrary detention, let him play with his dad"
9,"Do you think #China is okay with autonomy, just look at what is happening in #Hongkong. Only way out for #Uyghurs is restoring occupied #EastTurkistan even if it sounds far and hard."
10,English is the most spoken language in the world. Can you guess what No. 2 is?
11,"Wish your numbers could EVER be trusted

#CCP_is_terrorist 
#CCPLiedPeopleDied 
#FreeUyghurs 
@PakPMO
 
@ImranKhanPTI
 please have some shame & support #Uyghurs against #UyghurGenocide 
@RehamKhan1
 
@BBhuttoZardari
 
@MaryamNSharif
 
@NawazSharifMNS
 
@MoulanaOfficial
 
@mjdawar
 "
12,"Agree with PM Trudeau. 

But, we trust actions speak louder than words. Hence, accepting more #HongKong and #Uyghurs asylum seekers by #Canada government will be the best way to strike back to #CCP.

#StandWithUyghurs
#StandWithHongKong"
13,"Check out quran_makes_me_smile
's video! #TikTok get it out there #Uighurmuslims #Uyghurs #uyughurgenocide #Islamophobia_Is_Terrorism #islam #Islam #MuslimLivesMatter #muslim TALK ABOUT IT - POST ABOUT IT - TALK TO EVERYBODY - SPREAD THE WORD"
14,I don't understand the double standards of #imrankhanPTI n other Arab countries. When it comes to the matter of the #Uyghurs they not only close their eyes but also support the Chinese to prosecute them. In #Kashmir #Pakistan hasits own gains!!
15,"I applaud the Muslims groups there to speak up for #Uyghurs, unlike the Muslim countries that turn a blind eye to such persecution. Pls pray for the deliverance of your fellow men against such brutal regime. #StandWithUyghurs"
16,"#China is a place where rights violations happen en masse. #Uyghurs #ConcentrationCamps, #Tibetans disallowance to learn in mother tongue,  persecution of religious followers, & dissidents. #MagnitskyAct should be used against such officials responsible for rights violations"
