,text
0,"The group want to raise the awareness of the threats by #CCP, the regimes lock up #Uyghurs, #Tibetans and #Hongkongers, shouldn’t host the 2022 Winter Olympics.

#BoycottBeijingOlympics
#FreeUyghurs
#FreeTibet
#FreeHongKong"
1,"#Uyghurs prayed President Trump sign Uyghur Human Rights Act. Now praying 
 fro him to get well soon."
2,"The oppression against #Uyghurs by the #Chinese communist regime did not stop on alive Uyghurs. Even the Uyghur’s cemeteries are destroyed.

#Uyghurs 
#ConcentrationCamps 
#UyghurLivesMatter 
#Uyghuristan"
3,"#Uyghurs #Uighurs #Xinjiang 
(Pls also check Max tweets. Thx)"
4,World Uyghur Congress leader visits shrine honouring Japan’s war criminals - the left should understand the nature of these groups and not be duped twitter.com/MaxBlumenthal/…
5,"Ah be amcam 
 twitter.com/UygurHaber/sta…"
6,"A loud message to China, Stop killing #Uyghurs in your concentration camps."
7,"If you can please tell China to shutdown its concentration camps for #Uyghurs, as a friend it may listen to you. "
8,"Holy Father, tonight I will read your new encyclical respectfully & prayerfully

I agree entirely on importance of solidarity among people

That's why I am in solidarity with #Uyghurs, Chinese Christians, #HongKongers, #Tibetans 
@Pontifex
: are you, & if so, why not say so?"
9,Pope Francis presented his new encyclical ‘Fratelli Tutti’ with a message on the importance of solidarity among people https://reut.rs/3jpwmBP
10,"#Uyghurs & other Turkic peoples of #EastTurkistan support 
@POTUS
 @realDonaldTrump
 & the US because his administration has done alot more to raise our issue than all the previous administrations combined. We want him to recover quickly & do more to #HoldChinaAccountable."
11,"Curious why the flag of East Turkestan has joined the crowd outside Walter Reed, next to Trump flags and thin blue line flags and Q signs — and not a single visible American flag. 

Let this be lost on no one."
12,"Taking a look at history, sometimes it is hard to believe certain events actually took place."
13,"@nytimes
 once again displays extreme insensitivity to #Uyghurs #Tibetan and #HongKongers while defending #CCP."
14,"""Human rights experts say it is troubling that the US talks so strongly about human rights abuses in China, but is willing to engage in deeper...strategic ties with India where similar situations are occurring.""

Similar situations?? You're drunk, NYT.
https://nytimes.com/2020/10/03/world/asia/india-china-trump.html?smid=tw-share…"
15,"#Uyghurs Trusted #China / #chinese “kind words”, and now going through #UyghurHolocaust. World Trusted #China and now dealing with #COVID19 / #ChineseVirus whatever you want to call it! 

#CCPChina say to the world:
Stay Quiet and Be Next!"
16,"Thank you TX4HK - Texans Supporting Hong Kong, #Houston volunteers & Taiwanese buddies! Turning the fence from across the Chinese Consulate into the Chinese Prison. How can human rights violator- locking up #Uyghurs, #Tibetans, #taiwanesegirl, #Hongkongers - host the #Olympics?"
